algo,seed_label,source,env_step,reward
td3,seed0,ours,755000,290.34
td3,seed0,ours,756000,290.41
td3,seed0,ours,757000,292.01
td3,seed0,ours,758000,292.06
td3,seed0,ours,759000,292.11
td3,seed0,ours,760000,292.18
td3,seed0,ours,761000,292.22
td3,seed0,ours,762000,292.24
td3,seed0,ours,763000,292.25
td3,seed0,ours,764000,292.25
td3,seed0,ours,765000,292.28
td3,seed0,ours,766000,292.33
td3,seed0,ours,767000,292.36
td3,seed0,ours,768000,292.36
td3,seed0,ours,769000,292.36
td3,seed0,ours,770000,288.23
td3,seed0,ours,771000,288.26
td3,seed0,ours,772000,288.28
td3,seed0,ours,773000,288.28
td3,seed0,ours,774000,288.26
td3,seed0,ours,775000,288.27
td3,seed0,ours,776000,288.3
td3,seed0,ours,777000,288.34
td3,seed0,ours,778000,290.03
td3,seed0,ours,779000,290.05
td3,seed0,ours,780000,290.1
td3,seed0,ours,781000,290.18
td3,seed0,ours,782000,290.22
td3,seed0,ours,783000,290.23
td3,seed0,ours,784000,290.32
td3,seed0,ours,785000,290.37
td3,seed0,ours,786000,290.41
td3,seed0,ours,787000,290.44
td3,seed0,ours,788000,290.42
td3,seed0,ours,789000,290.42
td3,seed0,ours,790000,290.44
td3,seed0,ours,791000,292.83
td3,seed0,ours,792000,294.15
td3,seed0,ours,793000,294.12
td3,seed0,ours,794000,294.09
td3,seed0,ours,795000,294.07
td3,seed0,ours,796000,294.03
td3,seed0,ours,797000,294.03
